,region,name
0,Texas,Abilene Christian University
1,Texas,Abilene Christian University-Undergraduate Online
2,California,Abraham Lincoln University
3,Minnesota,Academy College
4,California,Academy of Art University
5,Colorado,Adams State University
6,New York,Adelphi University
7,Illinois,Adler University
8,Michigan,Adrian College
9,Florida,AdventHealth University
10,Georgia,Agnes Scott College
11,Florida,AI Miami International University of Art and Design
12,Alabama,Alabama A & M University
13,Alabama,Alabama State University
14,Alaska,Alaska Bible College
15,Alaska,Alaska Pacific University
16,New York,Albany College of Pharmacy and Health Sciences
17,Georgia,Albany State University
18,Connecticut,Albertus Magnus College
19,Michigan,Albion College
20,Florida,Albizu University-Miami
21,Pennsylvania,Albright College
22,Mississippi,Alcorn State University
23,West Virginia,Alderson Broaddus University
24,New York,Alfred University
25,Kentucky,Alice Lloyd College
26,Pennsylvania,Allegheny College
27,Ohio,Allegheny Wesleyan College
28,Iowa,Allen College
29,South Carolina,Allen University
30,California,Alliant International University-San Diego
31,Michigan,Alma College
32,Pennsylvania,Alvernia University
33,Wisconsin,Alverno College
34,Texas,Amberton University
35,California,America Evangelical University
36,Illinois,American Academy of Art College
37,Tennessee,American Baptist College
38,Indiana,American College of Education
39,South Carolina,American College of the Building Arts
40,Arizona,American InterContinental University
41,Georgia,American InterContinental University-Atlanta
42,Texas,American InterContinental University-Houston
43,Massachusetts,American International College
44,Illinois,American Islamic College
45,California,American Jewish University
46,West Virginia,American Public University System
47,Connecticut,American Sentinel College of Nursing and Health Sciences
48,District of Columbia,American University
49,California,American University of Health Sciences
50,Massachusetts,Amherst College
51,Alabama,Amridge University
52,Florida,Ana G. Mendez University
53,Indiana,Anderson University
54,South Carolina,Anderson University
55,Michigan,Andrews University
56,Texas,Angelo State University
57,Massachusetts,Anna Maria College
58,Ohio,Antioch College
59,Ohio,Antioch University
60,California,Antioch University-Los Angeles
61,California,Antioch University-Santa Barbara
62,Washington,Antioch University-Seattle
63,West Virginia,Appalachian Bible College
64,North Carolina,Appalachian State University
65,Michigan,Aquinas College
66,Pennsylvania,Arcadia University
67,Arizona,Arizona Christian University
68,Texas,Arizona College of Nursing-Dallas
69,Florida,Arizona College of Nursing-Fort Lauderdale
70,Nevada,Arizona College of Nursing-Las Vegas
71,Arizona,Arizona College of Nursing-Phoenix
72,Utah,Arizona College of Nursing-Salt Lake City
73,Florida,Arizona College of Nursing-Tampa
74,Arizona,Arizona College of Nursing-Tempe
75,Arizona,Arizona College of Nursing-Tempe
76,Arizona,Arizona College of Nursing-Tucson
77,Arizona,Arizona State University Campus Immersion
78,Arizona,Arizona State University Digital Immersion
79,Arkansas,Arkansas Baptist College
80,Arkansas,Arkansas State University
81,Texas,Arlington Baptist University
82,Ohio,Art Academy of Cincinnati
83,California,Art Center College of Design
84,Kentucky,Asbury University
85,California,Ashford University
86,Ohio,Ashland University
87,Arizona,Aspen University
88,Massachusetts,Assumption University
89,Alabama,Athens State University
90,California,ATI College-Whittier
91,Florida,Atlantic Institute of Oriental Medicine
92,Florida,Atlantis University
93,Alabama,Auburn University
94,Alabama,Auburn University at Montgomery
95,Minnesota,Augsburg University
96,Georgia,Augusta University
97,Illinois,Augustana College
98,South Dakota,Augustana University
99,Illinois,Aurora University
100,Texas,Austin College
101,Texas,Austin Graduate School of Theology
102,Tennessee,Austin Peay State University
103,Florida,Ave Maria University
104,Virginia,Averett University
105,Missouri,Avila University
106,California,Azusa Pacific University
107,Massachusetts,Babson College
108,Oklahoma,Bacone College
109,New York,Bais Binyomin Academy
110,Maryland,Bais HaMedrash and Mesivta of Baltimore
111,New York,Bais Medrash Elyon
112,New Jersey,Bais Medrash Toras Chesed
113,Michigan,Baker College
114,Kansas,Baker University
115,Ohio,Baldwin Wallace University
116,Indiana,Ball State University
117,Missouri,Baptist Bible College
118,Tennessee,Baptist Health Sciences University
119,Texas,Baptist Missionary Association Theological Seminary
120,Texas,Baptist University of the Americas
121,Kansas,Barclay College
122,New York,Bard College
123,New York,Barnard College
124,Missouri,Barnes-Jewish College Goldfarb School of Nursing
125,Florida,Barry University
126,North Carolina,Barton College
127,Washington,Bastyr University
128,Maine,Bates College
129,Massachusetts,Bay Path University
130,Texas,Baylor University
131,New York,Be'er Yaakov Talmudic Seminary
132,Florida,Beacon College
133,New York,Beis Medrash Heichal Dovid
134,Mississippi,Belhaven University
135,Kentucky,Bellarmine University
136,Nebraska,Bellevue University
137,Wisconsin,Bellin College
138,North Carolina,Belmont Abbey College
139,Tennessee,Belmont University
140,Wisconsin,Beloit College
141,Minnesota,Bemidji State University
142,South Carolina,Benedict College
143,Kansas,Benedictine College
144,Illinois,Benedictine University
145,North Carolina,Bennett College
146,Vermont,Bennington College
147,Massachusetts,Bentley University
148,Kentucky,Berea College
149,California,Bergin University of Canine Studies
150,New York,Berkeley College-New York
151,Massachusetts,Berklee College of Music
152,Georgia,Berry College
153,New York,Bet Medrash Gadol Ateret Torah
154,New Jersey,Beth Medrash Govoha
155,New York,Beth Medrash Meor Yitzchok
156,New Jersey,Beth Medrash of Asbury Park
157,West Virginia,Bethany College
158,Kansas,Bethany College
159,Minnesota,Bethany Global University
160,Minnesota,Bethany Lutheran College
161,Kansas,Bethel College-North Newton
162,Minnesota,Bethel University
163,Tennessee,Bethel University
164,Indiana,Bethel University
165,California,Bethesda University
166,Minnesota,Bethlehem College & Seminary
167,Florida,Bethune-Cookman University
168,Georgia,Beulah Heights University
169,New York,Binghamton University
170,California,Biola University
171,Alabama,Birmingham-Southern College
172,Oregon,Birthingway College of Midwifery
173,South Dakota,Black Hills State University
174,Illinois,Blackburn College
175,Illinois,Blessing Rieman College of Nursing and Health Sciences
176,New Jersey,Bloomfield College
177,Pennsylvania,Bloomsburg University of Pennsylvania
178,Mississippi,Blue Mountain College
179,West Virginia,Bluefield State College
180,Virginia,Bluefield University
181,Ohio,Bluffton University
182,South Carolina,Bob Jones University
183,Idaho,Boise State University
184,Virginia,Bon Secours Memorial College of Nursing
185,New York,Boricua College
186,Massachusetts,Boston Architectural College
187,Massachusetts,Boston Baptist College
188,Massachusetts,Boston College
189,Massachusetts,Boston University
190,Maine,Bowdoin College
191,Maryland,Bowie State University
192,Ohio,Bowling Green State University-Main Campus
193,Illinois,Bradley University
194,Massachusetts,Brandeis University
195,Georgia,Brenau University
196,Kentucky,Brescia University
197,North Carolina,Brevard College
198,Georgia,Brewton-Parker College
199,Iowa,Briar Cliff University
200,Virginia,Bridgewater College
201,Massachusetts,Bridgewater State University
202,Utah,Brigham Young University
203,Hawaii,Brigham Young University-Hawaii
204,Idaho,Brigham Young University-Idaho
205,New Mexico,Brookline College-Albuquerque
206,Rhode Island,Brown University
207,Nebraska,Bryan College of Health Sciences
208,Tennessee,Bryan College-Dayton
209,Rhode Island,Bryant University
210,Pennsylvania,Bryn Athyn College of the New Church
211,Pennsylvania,Bryn Mawr College
212,Pennsylvania,Bucknell University
213,Iowa,Buena Vista University
214,Oregon,Bushnell University
215,Indiana,Butler University
216,Pennsylvania,Cabrini University
217,Pennsylvania,Cairn University-Langhorne
218,New Jersey,Caldwell University
219,California,California Aeronautical University
220,California,California Arts University
221,California,California Baptist University
222,California,California Christian College
223,California,California College of the Arts
224,California,California Institute of Integral Studies
225,California,California Institute of Technology
226,California,California Institute of the Arts
227,California,California Intercontinental University
228,California,California Jazz Conservatory
229,California,California Lutheran University
230,California,California Miramar University
231,California,California Northstate University
232,California,California Polytechnic State University-San Luis Obispo
233,California,California State Polytechnic University-Humboldt
234,California,California State Polytechnic University-Pomona
235,California,California State University Maritime Academy
236,California,California State University-Bakersfield
237,California,California State University-Channel Islands
238,California,California State University-Chico
239,California,California State University-Dominguez Hills
240,California,California State University-East Bay
241,California,California State University-Fresno
242,California,California State University-Fullerton
243,California,California State University-Long Beach
244,California,California State University-Los Angeles
245,California,California State University-Monterey Bay
246,California,California State University-Northridge
247,California,California State University-Sacramento
248,California,California State University-San Bernardino
249,California,California State University-San Marcos
250,California,California State University-Stanislaus
251,Pennsylvania,California University of Pennsylvania
252,Indiana,Calumet College of Saint Joseph
253,Missouri,Calvary University
254,Michigan,Calvin University
255,Massachusetts,Cambridge College
256,Oklahoma,Cameron University
257,North Carolina,Campbell University
258,Kentucky,Campbellsville University
259,New York,Canisius College
260,Minnesota,Capella University
261,Ohio,Capital University
262,Maryland,Capitol Technology University
263,Wisconsin,Cardinal Stritch University
264,Utah,Careers Unlimited
265,Minnesota,Carleton College
266,Pennsylvania,Carlow University
267,Pennsylvania,Carnegie Mellon University
268,North Carolina,Carolina Christian College
269,North Carolina,Carolina University
270,Montana,Carroll College
271,Wisconsin,Carroll University
272,Tennessee,Carson-Newman University
273,Wisconsin,Carthage College
274,Ohio,Case Western Reserve University
275,Vermont,Castleton University
276,North Carolina,Catawba College
277,West Virginia,Catholic Distance University
278,New York,Cazenovia College
279,Pennsylvania,Cedar Crest College
280,Ohio,Cedarville University
281,Louisiana,Centenary College of Louisiana
282,New Jersey,Centenary University
283,Arkansas,Central Baptist College
284,Kansas,Central Christian College of Kansas
285,Missouri,Central Christian College of the Bible
286,Iowa,Central College
287,Connecticut,Central Connecticut State University
288,Missouri,Central Methodist University-College of Graduate and Extended Studies
289,Missouri,Central Methodist University-College of Liberal Arts and Sciences
290,Michigan,Central Michigan University
291,Pennsylvania,Central Penn College
292,Ohio,Central State University
293,Washington,Central Washington University
294,New York,Central Yeshiva Beth Joseph
295,New York,Central Yeshiva Tomchei Tmimim Lubavitz
296,Kentucky,Centre College
297,Nebraska,Chadron State College
298,Arizona,Chamberlain University-Arizona
299,California,Chamberlain University-California
300,Florida,Chamberlain University-Florida
301,Georgia,Chamberlain University-Georgia
302,Illinois,Chamberlain University-Illinois
303,Indiana,Chamberlain University-Indiana
304,Louisiana,Chamberlain University-Louisiana
305,Michigan,Chamberlain University-Michigan
306,Missouri,Chamberlain University-Missouri
307,Nevada,Chamberlain University-Nevada
308,New Jersey,Chamberlain University-New Jersey
309,North Carolina,Chamberlain University-North Carolina
310,Ohio,Chamberlain University-Ohio
311,Texas,Chamberlain University-Texas
312,Virginia,Chamberlain University-Virginia
313,Hawaii,Chaminade University of Honolulu
314,Arkansas,Champion Christian College
315,Vermont,Champlain College
316,California,Chapman University
317,California,Charles R Drew University of Medicine and Science
318,South Carolina,Charleston Southern University
319,North Carolina,Charlotte Christian College and Theological Seminary
320,Connecticut,Charter Oak State College
321,Pennsylvania,Chatham University
322,Pennsylvania,Chestnut Hill College
323,Pennsylvania,Cheyney University of Pennsylvania
324,Illinois,Chicago State University
325,North Carolina,Chowan University
326,Texas,Christ Mission College
327,Tennessee,Christian Brothers University
328,Virginia,Christopher Newport University
329,Ohio,Cincinnati College of Mortuary Science
330,South Carolina,Citadel Military College of South Carolina
331,Washington,City University of Seattle
332,Missouri,City Vision University
333,South Carolina,Claflin University
334,California,Claremont McKenna College
335,Pennsylvania,Clarion University of Pennsylvania
336,Georgia,Clark Atlanta University
337,Massachusetts,Clark University
338,Iowa,Clarke University
339,Pennsylvania,Clarks Summit University
340,Nebraska,Clarkson College
341,New York,Clarkson University
342,Georgia,Clayton State University
343,Kentucky,Clear Creek Baptist Bible College
344,Michigan,Cleary University
345,South Carolina,Clemson University
346,Ohio,Cleveland Institute of Art
347,Ohio,Cleveland Institute of Music
348,Ohio,Cleveland State University
349,Kansas,Cleveland University-Kansas City
350,South Carolina,Coastal Carolina University
351,Iowa,Coe College
352,South Carolina,Coker University
353,Maine,Colby College
354,New Hampshire,Colby-Sawyer College
355,New York,Colgate University
356,Michigan,College for Creative Studies
357,Texas,College of Biblical Studies-Houston
358,South Carolina,College of Charleston
359,New York,College of Mount Saint Vincent
360,Massachusetts,College of Our Lady of the Elms
361,Minnesota,College of Saint Benedict
362,Nebraska,College of Saint Mary
363,New York,College of Staten Island CUNY
364,Maine,College of the Atlantic
365,Massachusetts,College of the Holy Cross
366,Missouri,College of the Ozarks
367,Rhode Island,College Unbound
368,Colorado,Colorado Christian University
369,Colorado,Colorado College
370,Colorado,Colorado Mesa University
371,Colorado,Colorado School of Mines
372,Colorado,Colorado State University Pueblo
373,Colorado,Colorado State University-Fort Collins
374,Colorado,Colorado State University-Global Campus
375,Colorado,Colorado Technical University-Colorado Springs
376,Missouri,Columbia College
377,South Carolina,Columbia College
378,Illinois,Columbia College Chicago
379,California,Columbia College Hollywood
380,South Carolina,Columbia International University
381,Alabama,Columbia Southern University
382,New York,Columbia University in the City of New York
383,Ohio,Columbus College of Art and Design
384,Georgia,Columbus State University
385,Michigan,Compass College of Film and Media
386,Missouri,Conception Seminary College
387,West Virginia,Concord University
388,Minnesota,Concordia College at Moorhead
389,Michigan,Concordia University Ann Arbor
390,Texas,Concordia University Texas
391,Illinois,Concordia University-Chicago
392,California,Concordia University-Irvine
393,Nebraska,Concordia University-Nebraska
394,Minnesota,Concordia University-Saint Paul
395,Wisconsin,Concordia University-Wisconsin
396,New York,Congregation Talmidei Mesivta Tiferes Shmiel Aleksander
397,Connecticut,Connecticut College
398,South Carolina,Converse University
399,New York,Cooper Union for the Advancement of Science and Art
400,Maryland,Coppin State University
401,Oregon,Corban University
402,Iowa,Cornell College
403,New York,Cornell University
404,Michigan,Cornerstone University
405,Washington,Cornish College of the Arts
406,Georgia,Covenant College
407,Missouri,Cox College
408,Nebraska,Creighton University
409,Texas,Criswell College
410,Arkansas,Crowley's Ridge College
411,Minnesota,Crown College
412,Missouri,Culver-Stockton College
413,Tennessee,Cumberland University
414,New York,CUNY Bernard M Baruch College
415,New York,CUNY Brooklyn College
416,New York,CUNY City College
417,New York,CUNY Graduate School and University Center
418,New York,CUNY Hunter College
419,New York,CUNY John Jay College of Criminal Justice
420,New York,CUNY Lehman College
421,New York,CUNY Medgar Evers College
422,New York,CUNY New York City College of Technology
423,New York,CUNY Queens College
424,New York,CUNY York College
425,Massachusetts,Curry College
426,Pennsylvania,Curtis Institute of Music
427,New York,D'Youville College
428,New York,Daemen University
429,South Dakota,Dakota State University
430,South Dakota,Dakota Wesleyan University
431,Texas,Dallas Baptist University
432,Texas,Dallas Christian College
433,Georgia,Dalton State College
434,New Hampshire,Dartmouth College
435,Michigan,Davenport University
436,North Carolina,Davidson College
437,West Virginia,Davis & Elkins College
438,New York,Davis College
439,Massachusetts,Dean College
440,Ohio,Defiance College
441,Delaware,Delaware State University
442,Pennsylvania,Delaware Valley University
443,Mississippi,Delta State University
444,Ohio,Denison University
445,Colorado,Denver College of Nursing
446,Illinois,DePaul University
447,Indiana,DePauw University
448,Pennsylvania,DeSales University
449,California,Design Institute of San Diego
450,New York,DeVry College of New York
451,Arizona,DeVry University-Arizona
452,California,DeVry University-California
453,Colorado,DeVry University-Colorado
454,Florida,DeVry University-Florida
455,Georgia,DeVry University-Georgia
456,Illinois,DeVry University-Illinois
457,Indiana,DeVry University-Indiana
458,Missouri,DeVry University-Missouri
459,Nevada,DeVry University-Nevada
460,New Jersey,DeVry University-New Jersey
461,North Carolina,DeVry University-North Carolina
462,Ohio,DeVry University-Ohio
463,Pennsylvania,DeVry University-Pennsylvania
464,Tennessee,DeVry University-Tennessee
465,Texas,DeVry University-Texas
466,Virginia,DeVry University-Virginia
467,Pennsylvania,Dickinson College
468,North Dakota,Dickinson State University
469,Washington,DigiPen Institute of Technology
470,Louisiana,Dillard University
471,Iowa,Divine Word College
472,Nebraska,Doane University
473,New York,Dominican College of Blauvelt
474,Illinois,Dominican University
475,California,Dominican University of California
476,Iowa,Dordt University
477,Iowa,Drake University
478,New Jersey,Drew University
479,Pennsylvania,Drexel University
480,Missouri,Drury University
481,Missouri,Drury University-College of Continuing Professional Studies
482,North Carolina,Duke University
483,Pennsylvania,Duquesne University
484,Utah,Eagle Gate College-Layton
485,Utah,Eagle Gate College-Murray
486,Indiana,Earlham College
487,North Carolina,East Carolina University
488,Oklahoma,East Central University
489,Pennsylvania,East Stroudsburg University of Pennsylvania
490,Tennessee,East Tennessee State University
491,Texas,East Texas Baptist University
492,Illinois,East-West University
493,Connecticut,Eastern Connecticut State University
494,Illinois,Eastern Illinois University
495,Kentucky,Eastern Kentucky University
496,Virginia,Eastern Mennonite University
497,Michigan,Eastern Michigan University
498,Massachusetts,Eastern Nazarene College
499,New Mexico,Eastern New Mexico University-Main Campus
500,Oregon,Eastern Oregon University
501,Pennsylvania,Eastern University
502,Washington,Eastern Washington University
503,Arkansas,Ecclesia College
504,Florida,Eckerd College
505,Wisconsin,Edgewood College
506,Pennsylvania,Edinboro University of Pennsylvania
507,Florida,Edward Waters University
508,North Carolina,Elizabeth City State University
509,Pennsylvania,Elizabethtown College
510,Illinois,Elmhurst University
511,New York,Elmira College
512,North Carolina,Elon University
513,Florida,Embry-Riddle Aeronautical University-Daytona Beach
514,Arizona,Embry-Riddle Aeronautical University-Prescott
515,Florida,Embry-Riddle Aeronautical University-Worldwide
516,Massachusetts,Emerson College
517,Georgia,Emmanuel College
518,Massachusetts,Emmanuel College
519,Iowa,Emmaus Bible College
520,Virginia,Emory & Henry College
521,Georgia,Emory University
522,Kansas,Emporia State University
523,Massachusetts,Endicott College
524,California,Epic Bible College & Graduate School
525,South Carolina,Erskine College
526,Illinois,Eureka College
527,Missouri,Evangel University
528,Florida,Everglades University
529,New York,Excelsior College
530,Virginia,Fairfax University of America
531,Connecticut,Fairfield University
532,New Jersey,Fairleigh Dickinson University-Florham Campus
533,New Jersey,Fairleigh Dickinson University-Metropolitan Campus
534,West Virginia,Fairmont State University
535,Iowa,Faith Baptist Bible College and Theological Seminary
536,Washington,Faith International University
537,Oklahoma,Family of Faith Christian University
538,New York,Farmingdale State College
539,Alabama,Faulkner University
540,North Carolina,Fayetteville State University
541,New Jersey,Felician University
542,Michigan,Ferris State University
543,Virginia,Ferrum College
544,Michigan,Finlandia University
545,Massachusetts,Fisher College
546,Tennessee,Fisk University
547,Massachusetts,Fitchburg State University
548,New York,Five Towns College
549,Florida,Flagler College
550,Florida,Florida Agricultural and Mechanical University
551,Florida,Florida Atlantic University
552,Florida,Florida Gulf Coast University
553,Florida,Florida Institute of Technology
554,Florida,Florida Institute of Technology-Online
555,Florida,Florida International University
556,Florida,Florida Memorial University
557,Florida,Florida National University-Main Campus
558,Florida,Florida Polytechnic University
559,Florida,Florida Southern College
560,Florida,Florida State University
561,Missouri,Fontbonne University
562,New York,Fordham University
563,Kansas,Fort Hays State University
564,Colorado,Fort Lewis College
565,Georgia,Fort Valley State University
566,Massachusetts,Framingham State University
567,South Carolina,Francis Marion University
568,Louisiana,Franciscan Missionaries of Our Lady University
569,Ohio,Franciscan University of Steubenville
570,Pennsylvania,Franklin and Marshall College
571,Indiana,Franklin College
572,New Hampshire,Franklin Pierce University
573,Ohio,Franklin University
574,Massachusetts,Franklin W Olin College of Engineering
575,Tennessee,Freed-Hardeman University
576,California,Fresno Pacific University
577,Kansas,Friends University
578,Maryland,Frostburg State University
579,Florida,Full Sail University
580,South Carolina,Furman University
581,Kentucky,Galen College of Nursing-Louisville
582,District of Columbia,Gallaudet University
583,Pennsylvania,Gannon University
584,North Carolina,Gardner-Webb University
585,Texas,Gemini School of Visual Arts & Communication
586,Pennsylvania,Geneva College
587,Oregon,George Fox University
588,Virginia,George Mason University
589,District of Columbia,George Washington University
590,Kentucky,Georgetown College
591,District of Columbia,Georgetown University
592,Georgia,Georgia College & State University
593,Georgia,Georgia Gwinnett College
594,Georgia,Georgia Institute of Technology-Main Campus
595,Georgia,Georgia Southern University
596,Georgia,Georgia Southwestern State University
597,Georgia,Georgia State University
598,New Jersey,Georgian Court University
599,Pennsylvania,Gettysburg College
600,West Virginia,Glenville State University
601,Vermont,Goddard College
602,Ohio,Gods Bible School and College
603,California,Golden Gate University
604,Delaware,Goldey-Beacom College
605,Washington,Gonzaga University
606,Massachusetts,Gordon College
607,Indiana,Goshen College
608,Maryland,Goucher College
609,Illinois,Governors State University
610,Michigan,Grace Christian University
611,Indiana,Grace College and Theological Seminary
612,California,Grace Mission University
613,Texas,Grace School of Theology
614,Iowa,Graceland University-Lamoni
615,Louisiana,Grambling State University
616,Arizona,Grand Canyon University
617,Michigan,Grand Valley State University
618,Iowa,Grand View University
619,New Hampshire,Granite State College
620,Kansas,Grantham University
621,Pennsylvania,Gratz College
622,Michigan,Great Lakes Christian College
623,Washington,Great Northern University
624,North Carolina,Greensboro College
625,Illinois,Greenville University
626,Iowa,Grinnell College
627,Pennsylvania,Grove City College
628,North Carolina,Guilford College
629,Minnesota,Gustavus Adolphus College
630,Pennsylvania,Gwynedd Mercy University
631,Texas,Hallmark University
632,New York,Hamilton College
633,Minnesota,Hamline University
634,Virginia,Hampden-Sydney College
635,Massachusetts,Hampshire College
636,Virginia,Hampton University
637,Missouri,Hannibal-LaGrange University
638,Indiana,Hanover College
639,Texas,Hardin-Simmons University
640,Arkansas,Harding University
641,Missouri,Harris-Stowe State University
642,Pennsylvania,Harrisburg University of Science and Technology
643,New York,Hartwick College
644,Massachusetts,Harvard University
645,California,Harvey Mudd College
646,Kansas,Haskell Indian Nations University
647,Nebraska,Hastings College
648,California,Haven University
649,Pennsylvania,Haverford College
650,Hawaii,Hawaii Pacific University
651,Massachusetts,Hebrew College
652,Illinois,Hebrew Theological College
653,Ohio,Heidelberg University
654,Massachusetts,Hellenic College-Holy Cross Greek Orthodox School of Theology
655,Arkansas,Henderson State University
656,Arkansas,Hendrix College
657,North Carolina,Heritage Bible College
658,Alabama,Heritage Christian University
659,Washington,Heritage University
660,Wisconsin,Herzing University-Kenosha
661,Wisconsin,Herzing University-Madison
662,Minnesota,Herzing University-Minneapolis
663,North Carolina,High Point University
664,New York,Hilbert College
665,Michigan,Hillsdale College
666,Ohio,Hiram College
667,New York,Hobart William Smith Colleges
668,Florida,Hobe Sound Bible College
669,Florida,Hodges University
670,New York,Hofstra University
671,Virginia,Hollins University
672,Connecticut,Holy Apostles College and Seminary
673,Indiana,Holy Cross College
674,Pennsylvania,Holy Family University
675,California,Holy Names University
676,Maryland,Hood College
677,Michigan,Hope College
678,California,Hope International University
679,Indiana,Horizon University
680,New York,Houghton College
681,Texas,Houston Baptist University
682,Texas,Howard Payne University
683,District of Columbia,Howard University
684,Massachusetts,Hult International Business School
