,region,name
685,California,Humphreys University-Stockton and Modesto Campuses
686,Alabama,Huntingdon College
687,Indiana,Huntington University
688,Alabama,Huntsville Bible College
689,California,Hussian College-Los Angeles
690,Pennsylvania,Hussian College-Philadelphia
691,Maine,Husson University
692,Texas,Huston-Tillotson University
693,Idaho,Idaho State University
694,Virginia,IGlobal University
695,Illinois,Illinois College
696,Illinois,Illinois Institute of Technology
697,Illinois,Illinois State University
698,Illinois,Illinois Wesleyan University
699,Pennsylvania,Immaculata University
700,Indiana,Indiana Institute of Technology
701,Indiana,Indiana Institute of Technology-College of Professional Studies
702,Indiana,Indiana State University
703,Pennsylvania,Indiana University of Pennsylvania-Main Campus
704,Indiana,Indiana University-Bloomington
705,Indiana,Indiana University-East
706,Indiana,Indiana University-Kokomo
707,Indiana,Indiana University-Northwest
708,Indiana,Indiana University-Purdue University-Indianapolis
709,Indiana,Indiana University-South Bend
710,Indiana,Indiana University-Southeast
711,Indiana,Indiana Wesleyan University-Marion
712,Indiana,Indiana Wesleyan University-National & Global
713,New Mexico,Institute of American Indian and Alaska Native Culture and Arts Development
714,South Dakota,Institute of Lutheran Theology
715,Arizona,International Baptist College and Seminary
716,New York,Iona College
717,Iowa,Iowa State University
718,Iowa,Iowa Wesleyan University
719,New York,Ithaca College
720,Mississippi,Jackson State University
721,Alabama,Jacksonville State University
722,Florida,Jacksonville University
723,Virginia,James Madison University
724,Texas,Jarvis Christian University
725,New York,Jewish Theological Seminary of America
726,Arkansas,John Brown University
727,Ohio,John Carroll University
728,Indiana,John Patrick University of Health and Applied Sciences
729,California,John Paul the Great Catholic University
730,Maryland,Johns Hopkins University
731,North Carolina,Johnson & Wales University-Charlotte
732,Rhode Island,Johnson & Wales University-Online
733,Rhode Island,Johnson & Wales University-Providence
734,North Carolina,Johnson C Smith University
735,Tennessee,Johnson University
736,Florida,Johnson University Florida
737,Illinois,Judson University
738,Pennsylvania,Juniata College
739,Michigan,Kalamazoo College
740,Missouri,Kansas City Art Institute
741,Kansas,Kansas State University
742,Kansas,Kansas Wesleyan University
743,New Jersey,Kean University
744,New Hampshire,Keene State College
745,New York,Kehilath Yakov Rabbinical Seminary
746,Georgia,Kennesaw State University
747,Ohio,Kent State University at Kent
748,Kentucky,Kentucky Christian University
749,Kentucky,Kentucky State University
750,Kentucky,Kentucky Wesleyan College
751,Ohio,Kenyon College
752,New Jersey,Keser Torah-Mayan Hatalmud
753,Ohio,Kettering College
754,Michigan,Kettering University
755,New York,Keuka College
756,Pennsylvania,Keystone College
757,Tennessee,King University
758,Pennsylvania,King's College
759,Illinois,Knox College
760,Pennsylvania,Kutztown University of Pennsylvania
761,Michigan,Kuyper College
762,Pennsylvania,La Roche University
763,Pennsylvania,La Salle University
764,California,La Sierra University
765,Pennsylvania,Lafayette College
766,Georgia,LaGrange College
767,California,Laguna College of Art and Design
768,Ohio,Lake Erie College
769,Illinois,Lake Forest College
770,Michigan,Lake Superior State University
771,Wisconsin,Lakeland University
772,Illinois,Lakeview College of Nursing
773,Texas,Lamar University
774,Pennsylvania,Lancaster Bible College
775,South Carolina,Lander University
776,Tennessee,Lane College
777,Oklahoma,Langston University
778,Massachusetts,Lasell University
779,Michigan,Lawrence Technological University
780,Wisconsin,Lawrence University
781,New York,Le Moyne College
782,Tennessee,Le Moyne-Owen College
783,Pennsylvania,Lebanon Valley College
784,Tennessee,Lee University
785,North Carolina,Lees-McRae College
786,Pennsylvania,Lehigh University
787,North Carolina,Lenoir-Rhyne University
788,Massachusetts,Lesley University
789,Texas,LeTourneau University
790,Oregon,Lewis & Clark College
791,Illinois,Lewis University
792,Idaho,Lewis-Clark State College
793,Virginia,Liberty University
794,California,Life Pacific University
795,Georgia,Life University
796,New York,LIM College
797,South Carolina,Limestone University
798,Illinois,Lincoln Christian University
799,Illinois,Lincoln College
800,Tennessee,Lincoln Memorial University
801,Pennsylvania,Lincoln University
802,California,Lincoln University
803,Missouri,Lincoln University
804,Missouri,Lindenwood University
805,Kentucky,Lindsey Wilson College
806,Oregon,Linfield University-McMinnville Campus
807,Oregon,Linfield University-Online and Continuing Education
808,Oregon,Linfield University-School of Nursing
809,Tennessee,Lipscomb University
810,North Carolina,Livingstone College
811,Pennsylvania,Lock Haven University
812,Missouri,Logan University
813,California,Loma Linda University
814,New York,Long Island University
815,Virginia,Longwood University
816,Iowa,Loras College
817,California,Los Angeles Academy of Figurative Art
818,California,Los Angeles College of Music
819,California,Los Angeles Pacific University
820,Louisiana,Louisiana College
821,Louisiana,Louisiana State University and Agricultural & Mechanical College
822,Louisiana,Louisiana State University Health Sciences Center-New Orleans
823,Louisiana,Louisiana State University Health Sciences Center-Shreveport
824,Louisiana,Louisiana State University-Alexandria
825,Louisiana,Louisiana State University-Shreveport
826,Louisiana,Louisiana Tech University
827,Ohio,Lourdes University
828,California,Loyola Marymount University
829,Illinois,Loyola University Chicago
830,Maryland,Loyola University Maryland
831,Louisiana,Loyola University New Orleans
832,Texas,Lubbock Christian University
833,Iowa,Luther College
834,Georgia,Luther Rice College & Seminary
835,Pennsylvania,Lycoming College
836,Florida,Lynn University
837,Arkansas,Lyon College
838,Minnesota,Macalester College
839,New York,Machzikei Hadath Rabbinical College
840,Michigan,Madonna University
841,New Hampshire,Magdalen College
842,Iowa,Maharishi International University
843,Maine,Maine College of Art & Design
844,Maine,Maine Maritime Academy
845,Ohio,Malone University
846,Indiana,Manchester University
847,Kansas,Manhattan Christian College
848,New York,Manhattan College
849,New York,Manhattan School of Music
850,New York,Manhattanville College
851,North Carolina,Manna University
852,Pennsylvania,Mansfield University of Pennsylvania
853,Wisconsin,Maranatha Baptist University
854,Indiana,Marian University
855,Wisconsin,Marian University
856,Ohio,Marietta College
857,New York,Marist College
858,Wisconsin,Marquette University
859,North Carolina,Mars Hill University
860,West Virginia,Marshall University
861,Minnesota,Martin Luther College
862,Indiana,Martin University
863,Virginia,Mary Baldwin University
864,Maryland,Maryland Institute College of Art
865,California,Marymount California University
866,New York,Marymount Manhattan College
867,Virginia,Marymount University
868,Tennessee,Maryville College
869,Missouri,Maryville University of Saint Louis
870,Pennsylvania,Marywood University
871,Massachusetts,Massachusetts College of Art and Design
872,Massachusetts,Massachusetts College of Liberal Arts
873,Massachusetts,Massachusetts Institute of Technology
874,Massachusetts,Massachusetts Maritime Academy
875,North Dakota,Mayville State University
876,Maryland,McDaniel College
877,Illinois,McKendree University
878,Texas,McMurry University
879,Louisiana,McNeese State University
880,Kansas,McPherson College
881,Massachusetts,MCPHS University
882,New York,Mechon L'hoyroa
883,New York,Medaille College
884,South Carolina,Medical University of South Carolina
885,California,Menlo College
886,Georgia,Mercer University
887,New York,Mercy College
888,Iowa,Mercy College of Health Sciences
889,Pennsylvania,Mercyhurst University
890,North Carolina,Meredith College
891,Massachusetts,Merrimack College
892,New York,Mesivta Torah Vodaath Rabbinical Seminary
893,New York,Mesivtha Tifereth Jerusalem of America
894,Texas,Messenger College
895,Pennsylvania,Messiah University
896,Illinois,Methodist College
897,North Carolina,Methodist University
898,New York,Metropolitan College of New York
899,Minnesota,Metropolitan State University
900,Colorado,Metropolitan State University of Denver
901,Massachusetts,MGH Institute of Health Professions
902,Texas,Miami International University of Art & Design-Art Institute Dallas
903,Florida,Miami Regional University
904,Ohio,Miami University-Hamilton
905,Ohio,Miami University-Middletown
906,Ohio,Miami University-Oxford
907,Michigan,Michigan State University
908,Michigan,Michigan Technological University
909,Oklahoma,Mid-America Christian University
910,North Carolina,Mid-Atlantic Christian University
911,Tennessee,Mid-South Christian College
912,Kansas,MidAmerica Nazarene University
913,Georgia,Middle Georgia State University
914,Tennessee,Middle Tennessee State University
915,Vermont,Middlebury College
916,California,Middlebury Institute of International Studies at Monterey
917,Nebraska,Midland University
918,Kentucky,Midway University
919,Missouri,Midwestern Baptist Theological Seminary
920,Texas,Midwestern State University
921,Utah,Midwives College of Utah
922,Alabama,Miles College
923,Florida,Millennia Atlantic University
924,Pennsylvania,Millersville University of Pennsylvania
925,Tennessee,Milligan University
926,Illinois,Millikin University
927,California,Mills College
928,Mississippi,Millsaps College
929,Wisconsin,Milwaukee Institute of Art & Design
930,Wisconsin,Milwaukee School of Engineering
931,California,Minerva University
932,Minnesota,Minneapolis College of Art and Design
933,Minnesota,Minnesota State University Moorhead
934,Minnesota,Minnesota State University-Mankato
935,North Dakota,Minot State University
936,Pennsylvania,Misericordia University
937,Mississippi,Mississippi College
938,Mississippi,Mississippi State University
939,Mississippi,Mississippi University for Women
940,Mississippi,Mississippi Valley State University
941,Missouri,Missouri Baptist University
942,Missouri,Missouri Southern State University
943,Missouri,Missouri State University-Springfield
944,Missouri,Missouri University of Science and Technology
945,Missouri,Missouri Valley College
946,Missouri,Missouri Western State University
947,Connecticut,Mitchell College
948,New York,Molloy College
949,Illinois,Monmouth College
950,New Jersey,Monmouth University
951,New York,Monroe College
952,Montana,Montana Bible College
953,Montana,Montana State University
954,Montana,Montana State University Billings
955,Montana,Montana State University-Northern
956,Montana,Montana Technological University
957,New Jersey,Montclair State University
958,North Carolina,Montreat College
959,Massachusetts,Montserrat College of Art
960,Illinois,Moody Bible Institute
961,Pennsylvania,Moore College of Art and Design
962,Pennsylvania,Moravian University
963,Kentucky,Morehead State University
964,Georgia,Morehouse College
965,Maryland,Morgan State University
966,Iowa,Morningside University
967,South Carolina,Morris College
968,Pennsylvania,Mount Aloysius College
969,Oregon,Mount Angel Seminary
970,Ohio,Mount Carmel College of Nursing
971,Massachusetts,Mount Holyoke College
972,South Dakota,Mount Marty University
973,Wisconsin,Mount Mary University
974,Iowa,Mount Mercy University
975,Ohio,Mount Saint Joseph University
976,New York,Mount Saint Mary College
977,California,Mount Saint Mary's University
978,Maryland,Mount St. Mary's University
979,Ohio,Mount Vernon Nazarene University
980,Pennsylvania,Muhlenberg College
981,Oregon,Multnomah University
982,Kentucky,Murray State University
983,Ohio,Muskingum University
984,Colorado,Naropa University
985,South Dakota,National American University-Ellsworth AFB Extension
986,Georgia,National American University-Kings Bay
987,South Dakota,National American University-Rapid City
988,Illinois,National Louis University
989,California,National University
990,Illinois,National University of Health Sciences
991,Oregon,National University of Natural Medicine
992,Colorado,Nazarene Bible College
993,New York,Nazareth College
994,Nebraska,Nebraska Methodist College of Nursing & Allied Health
995,Nebraska,Nebraska Wesleyan University
996,Maryland,Ner Israel Rabbinical College
997,Pennsylvania,Neumann University
998,Utah,Neumont College of Computer Science
999,Nevada,Nevada State College
1000,Florida,New College of Florida
1001,New Hampshire,New England College
1002,Oregon,New Hope Christian College-Eugene
1003,New Jersey,New Jersey City University
1004,New Jersey,New Jersey Institute of Technology
1005,New Mexico,New Mexico Highlands University
1006,New Mexico,New Mexico Institute of Mining and Technology
1007,New Mexico,New Mexico State University-Main Campus
1008,Louisiana,New Orleans Baptist Theological Seminary
1009,Idaho,New Saint Andrews College
1010,California,New York Film Academy
1011,New York,New York Institute of Technology
1012,New York,New York School of Interior Design
1013,New York,New York University
1014,South Carolina,Newberry College
1015,Kansas,Newman University
1016,California,Newschool of Architecture and Design
1017,District of Columbia,NewU University
1018,New York,Niagara University
1019,Louisiana,Nicholls State University
1020,Massachusetts,Nichols College
1021,Utah,Nightingale College
1022,Virginia,Norfolk State University
1023,Texas,North American University
1024,North Carolina,North Carolina A & T State University
1025,North Carolina,North Carolina Central University
1026,North Carolina,North Carolina State University at Raleigh
1027,North Carolina,North Carolina Wesleyan College
1028,Illinois,North Central College
1029,Minnesota,North Central University
1030,North Dakota,North Dakota State University-Main Campus
1031,South Carolina,North Greenville University
1032,Illinois,North Park University
1033,California,Northcentral University
1034,Illinois,Northeastern Illinois University
1035,Oklahoma,Northeastern State University
1036,Massachusetts,Northeastern University
1037,Massachusetts,Northeastern University Professional Programs
1038,Arizona,Northern Arizona University
1039,Illinois,Northern Illinois University
1040,Kentucky,Northern Kentucky University
1041,Michigan,Northern Michigan University
1042,South Dakota,Northern State University
1043,Vermont,Northern Vermont University
1044,Wisconsin,Northland College
1045,Massachusetts,Northpoint Bible College
1046,Washington,Northwest College of Art & Design
1047,Missouri,Northwest Missouri State University
1048,Idaho,Northwest Nazarene University
1049,Washington,Northwest University
1050,Washington,Northwest University-Center for Online and Extended Education
1051,Iowa,Northwestern College
1052,Minnesota,Northwestern Health Sciences University
1053,Oklahoma,Northwestern Oklahoma State University
1054,Louisiana,Northwestern State University of Louisiana
1055,Illinois,Northwestern University
1056,Michigan,Northwood University
1057,Vermont,Norwich University
1058,Tennessee,Nossi College of Art
1059,Ohio,Notre Dame College
1060,California,Notre Dame de Namur University
1061,Maryland,Notre Dame of Maryland University
1062,Florida,Nova Southeastern University
1063,New York,Nyack College
1064,Minnesota,Oak Hills Christian College
1065,Illinois,Oak Point University
1066,California,Oak Valley College
1067,Indiana,Oakland City University
1068,Michigan,Oakland University
1069,Alabama,Oakwood University
1070,Ohio,Oberlin College
1071,California,Occidental College
1072,Georgia,Oglethorpe University
1073,Ohio,Ohio Christian University
1074,Ohio,Ohio Dominican University
1075,Ohio,Ohio Northern University
1076,Ohio,Ohio State University-Main Campus
1077,Ohio,Ohio University-Main Campus
1078,Ohio,Ohio Wesleyan University
1079,New York,Ohr Hameir Theological Seminary
1080,Oklahoma,Oklahoma Baptist University
1081,Oklahoma,Oklahoma Christian University
1082,Oklahoma,Oklahoma City University
1083,Oklahoma,Oklahoma Panhandle State University
1084,Oklahoma,Oklahoma State University-Main Campus
1085,Oklahoma,Oklahoma Wesleyan University
1086,Virginia,Old Dominion University
1087,Michigan,Olivet College
1088,Illinois,Olivet Nazarene University
1089,Oklahoma,Oral Roberts University
1090,Oregon,Oregon Health & Science University
1091,Oregon,Oregon Institute of Technology
1092,Oregon,Oregon State University
1093,Oregon,Oregon State University-Cascades Campus
1094,California,Otis College of Art and Design
1095,Kansas,Ottawa University-Kansas City
1096,Wisconsin,Ottawa University-Milwaukee
1097,Kansas,Ottawa University-Online
1098,Kansas,Ottawa University-Ottawa
1099,Arizona,Ottawa University-Phoenix
1100,Arizona,Ottawa University-Surprise
1101,Ohio,Otterbein University
1102,Arkansas,Ouachita Baptist University
1103,Texas,Our Lady of the Lake University
1104,Missouri,Ozark Christian College
1105,New York,Pace University
1106,California,Pacific College of Health and Science
1107,New York,Pacific College of Health and Science
1108,Washington,Pacific Lutheran University
1109,Oregon,Pacific Northwest College of Art
1110,California,Pacific Oaks College
1111,Hawaii,Pacific Rim Christian University
1112,California,Pacific States University
1113,California,Pacific Union College
1114,Oregon,Pacific University
1115,Connecticut,Paier College
1116,Georgia,Paine College
1117,Florida,Palm Beach Atlantic University
1118,Iowa,Palmer College of Chiropractic
1119,California,Palo Alto University
1120,Missouri,Park University
1121,Texas,Parker University
1122,California,Pathways College
1123,Virginia,Patrick Henry College
1124,Texas,Paul Quinn College
1125,New York,Paul Smiths College of Arts and Science
1126,Pennsylvania,Peirce College
1127,Pennsylvania,Pennsylvania Academy of the Fine Arts
1128,Pennsylvania,Pennsylvania College of Art and Design
1129,California,Pepperdine University
1130,Nebraska,Peru State College
1131,North Carolina,Pfeiffer University
1132,Arkansas,Philander Smith College
1133,New York,Phillips School of Nursing at Mount Sinai Beth Israel
1134,Georgia,Piedmont University
1135,New Jersey,Pillar College
1136,Massachusetts,Pine Manor College
1137,Kansas,Pittsburg State University
1138,California,Pitzer College
1139,Colorado,Platt College-Aurora
1140,California,Platt College-San Diego
1141,New Hampshire,Plymouth State University
1142,California,Point Loma Nazarene University
1143,Pennsylvania,Point Park University
1144,Georgia,Point University
1145,Florida,Polytechnic University of Puerto Rico-Miami
1146,Florida,Polytechnic University of Puerto Rico-Orlando
1147,California,Pomona College
1148,Ohio,Pontifical College Josephinum
1149,Oregon,Portland State University
1150,Connecticut,Post University
1151,Texas,Prairie View A & M University
1152,New York,Pratt Institute-Main
1153,South Carolina,Presbyterian College
1154,California,Presbyterian Theological Seminary in America
1155,Arizona,Prescott College
1156,South Dakota,Presentation College
1157,New Jersey,Princeton University
1158,Illinois,Principia College
1159,California,Providence Christian College
1160,Rhode Island,Providence College
1161,Utah,Provo College
1162,Indiana,Purdue University Fort Wayne
1163,Indiana,Purdue University Global
1164,Indiana,Purdue University Northwest
1165,Indiana,Purdue University-Main Campus
1166,North Carolina,Queens University of Charlotte
1167,Illinois,Quincy University
1168,Connecticut,Quinnipiac University
1169,New Jersey,Rabbi Jacob Joseph School
1170,New York,Rabbinical Academy Mesivta Rabbi Chaim Berlin
1171,New York,Rabbinical College Bobover Yeshiva Bnei Zion
1172,New Jersey,Rabbinical College of America
1173,New York,Rabbinical College of Long Island
1174,New York,Rabbinical College of Ohr Shimon Yisroel
1175,New York,Rabbinical College Ohr Yisroel
1176,Ohio,Rabbinical College Telshe
1177,New Jersey,Rabbinical Seminary Mkor Chaim
1178,New York,Rabbinical Seminary of America
1179,Virginia,Radford University
1180,New Jersey,Ramapo College of New Jersey
1181,Oklahoma,Randall University
1182,Virginia,Randolph College
1183,Virginia,Randolph-Macon College
1184,Oregon,Reed College
1185,Georgia,Reformed University
1186,Virginia,Regent University
1187,Massachusetts,Regis College
1188,Colorado,Regis University
1189,Georgia,Reinhardt University
1190,New York,Rensselaer Polytechnic Institute
1191,Missouri,Research College of Nursing
1192,Rhode Island,Rhode Island College
1193,Rhode Island,Rhode Island School of Design
1194,Tennessee,Rhodes College
1195,Texas,Rice University
1196,New Jersey,Rider University
1197,Florida,Ringling College of Art and Design
1198,Wisconsin,Ripon College
1199,New Hampshire,Rivier University
1200,Virginia,Roanoke College
1201,Pennsylvania,Robert Morris University
1202,New York,Roberts Wesleyan College
1203,New York,Rochester Institute of Technology
1204,Michigan,Rochester University
1205,Illinois,Rockford University
1206,Missouri,Rockhurst University
1207,Montana,Rocky Mountain College
1208,Colorado,Rocky Mountain College of Art and Design
1209,Rhode Island,Roger Williams University
1210,Oklahoma,Rogers State University
1211,Florida,Rollins College
1212,Illinois,Roosevelt University
1213,Indiana,Rose-Hulman Institute of Technology
1214,Nevada,Roseman University of Health Sciences
1215,Pennsylvania,Rosemont College
1216,New Jersey,Rowan University
1217,Illinois,Rush University
1218,New York,Russell Sage College
1219,Mississippi,Rust College
1220,New Jersey,Rutgers University-Camden
1221,New Jersey,Rutgers University-New Brunswick
1222,New Jersey,Rutgers University-Newark
1223,Michigan,Sacred Heart Major Seminary
1224,Connecticut,Sacred Heart University
1225,Michigan,Saginaw Valley State University
1226,Iowa,Saint Ambrose University
1227,New Hampshire,Saint Anselm College
1228,Illinois,Saint Anthony College of Nursing
1229,North Carolina,Saint Augustine's University
1230,Pennsylvania,Saint Charles Borromeo Seminary-Overbrook
1231,Minnesota,Saint Cloud State University
1232,Texas,Saint Edward's University
1233,New Jersey,Saint Elizabeth University
1234,Illinois,Saint Francis Medical Center College of Nursing
1235,Pennsylvania,Saint Francis University
1236,New York,Saint John Fisher College
1237,Massachusetts,Saint John's Seminary
1238,Minnesota,Saint Johns University
1239,Louisiana,Saint Joseph Seminary College
1240,Maine,Saint Joseph's College of Maine
1241,Pennsylvania,Saint Joseph's University
1242,Florida,Saint Leo University
1243,Missouri,Saint Louis Christian College
1244,Missouri,Saint Louis University
1245,Washington,Saint Martin's University
1246,Indiana,Saint Mary's College
1247,California,Saint Mary's College of California
1248,Minnesota,Saint Mary's University of Minnesota
1249,Indiana,Saint Mary-of-the-Woods College
1250,Vermont,Saint Michael's College
1251,Wisconsin,Saint Norbert College
1252,New Jersey,Saint Peter's University
1253,Pennsylvania,Saint Vincent College
1254,Illinois,Saint Xavier University
1255,North Carolina,Salem College
1256,Massachusetts,Salem State University
1257,West Virginia,Salem University
1258,Maryland,Salisbury University
1259,Rhode Island,Salve Regina University
1260,Texas,Sam Houston State University
1261,Alabama,Samford University
1262,California,Samuel Merritt University
1263,California,San Diego Christian College
1264,California,San Diego State University
1265,California,San Francisco Art Institute
1266,California,San Francisco Bay University
1267,California,San Francisco Conservatory of Music
1268,California,San Francisco State University
1269,Florida,San Ignacio University
1270,California,San Jose State University
1271,Maryland,SANS Technology Institute
1272,California,Santa Clara University
1273,New York,Sarah Lawrence College
1274,Georgia,Savannah College of Art and Design
1275,Georgia,Savannah State University
1276,Florida,Schiller International University
1277,Illinois,School of the Art Institute of Chicago
1278,New York,School of Visual Arts
1279,Texas,Schreiner University
1280,California,Scripps College
1281,Washington,Seattle Film Institute
1282,Washington,Seattle Pacific University
1283,Washington,Seattle University
1284,Virginia,Sentara College of Health Sciences
1285,New Jersey,Seton Hall University
1286,Pennsylvania,Seton Hill University
1287,New York,Sh'or Yoshuv Rabbinical College
1288,California,Shasta Bible College and Graduate School
1289,North Carolina,Shaw University
1290,Ohio,Shawnee State University
1291,Virginia,Shenandoah University
1292,West Virginia,Shepherd University
1293,Pennsylvania,Shippensburg University of Pennsylvania
1294,Georgia,Shorter University
1295,New York,Siena College
1296,Michigan,Siena Heights University
1297,Nevada,Sierra Nevada University
1298,Massachusetts,Simmons University
1299,Iowa,Simpson College
1300,California,Simpson University
1301,South Dakota,Sinte Gleska University
1302,South Dakota,Sioux Falls Seminary
1303,New York,Skidmore College
1304,Pennsylvania,Slippery Rock University of Pennsylvania
1305,Massachusetts,Smith College
1306,California,Sofia University
1307,California,Soka University of America
1308,California,Sonoma State University
1309,South Carolina,South Carolina State University
1310,South Dakota,South Dakota School of Mines and Technology
1311,South Dakota,South Dakota State University
1312,Florida,South Florida Bible College and Theological Seminary
1313,Texas,South University-Austin
1314,South Carolina,South University-Columbia
1315,North Carolina,South University-High Point
1316,Alabama,South University-Montgomery
1317,Virginia,South University-Richmond
1318,Georgia,South University-Savannah
1319,Georgia,South University-Savannah Online
1320,Florida,South University-Tampa
1321,Virginia,South University-Virginia Beach
1322,Florida,South University-West Palm Beach
1323,Missouri,Southeast Missouri State University
1324,Mississippi,Southeastern Baptist College
1325,North Carolina,Southeastern Baptist Theological Seminary
1326,North Carolina,Southeastern Free Will Baptist Bible College
1327,Louisiana,Southeastern Louisiana University
1328,Oklahoma,Southeastern Oklahoma State University
1329,Florida,Southeastern University
1330,Tennessee,Southern Adventist University
1331,Arkansas,Southern Arkansas University Main Campus
1332,California,Southern California Institute of Architecture
1333,California,Southern California Seminary
1334,California,Southern California University of Health Sciences
1335,Connecticut,Southern Connecticut State University
1336,Illinois,Southern Illinois University-Carbondale
1337,Illinois,Southern Illinois University-Edwardsville
1338,Texas,Southern Methodist University
1339,Oklahoma,Southern Nazarene University
1340,New Hampshire,Southern New Hampshire University
1341,Oregon,Southern Oregon University
1342,California,Southern States University
1343,Louisiana,Southern University and A & M College
1344,Louisiana,Southern University at New Orleans
1345,Utah,Southern Utah University
1346,Virginia,Southern Virginia University
1347,South Carolina,Southern Wesleyan University
1348,Missouri,Southwest Baptist University
